,user,user_id
0,1000143735940450589,0
2,1000320644477430198,1
5,1000623420493358791,2
20,1000669078323769647,3
24,1000835096154987497,4
28,1001025568358195272,5
30,1001122428821047302,6
35,1001320930926254029,7
37,1001372666984531394,8
39,1001438357375225266,9
41,1001526475268273409,10
43,1001837333258604462,11
45,1002043898148743701,12
49,1002187785024421769,13
103,1002398619151307667,14
105,1002461170289555706,15
109,1002503148614581807,16
111,1002560023287431204,17
116,1002876249421387911,18
122,1002949447260756925,19
131,1002959923743136313,20
147,1003091055476842686,21
154,1003385546940956246,22
157,1003509154083604842,23
160,1003511329321429719,24
167,1003696721733826447,25
199,1003766814517659305,26
206,1003789535257965326,27
221,1004081376849533430,28
225,1004166132951744944,29
228,1004299462452184680,30
231,1004367727244062209,31
236,1004570753779262304,32
238,1004617675168007124,33
244,1005080892431147575,34
258,1005134864826341709,35
263,1005502461362630129,36
266,1005525337228294509,37
269,1005661887248113116,38
276,1005679843494492907,39
280,1005731239904368237,40
287,1005739870962370843,41
289,1005793823994139434,42
293,1005885544029101037,43
295,1006023859351347260,44
297,1006060907521793969,45
299,1006086772888027788,46
304,1006128162125078903,47
308,1006146084580511688,48
320,1006150933478348340,49
322,1006174331438796173,50
325,1006203601118311977,51
329,1006364272665280286,52
334,1006369169056415558,53
337,1006460113116978184,54
340,1006749978152843956,55
347,1006867945789881824,56
354,1006918391733855464,57
357,1006947898494134029,58
365,1007031388168009634,59
367,1007072331981159834,60
370,1007131403828854914,61
372,1007187360961372438,62
374,1007190311731147150,63
380,1007283108056375693,64
385,1007296538259834051,65
389,1007324108497786192,66
391,1007442155729418105,67
393,1007451618627978668,68
403,1007698318497499932,69
405,1007716963190909880,70
407,1007873178888891073,71
409,1007880403788581850,72
416,1007907745434922919,73
423,1007941140425178338,74
428,1008011012209192072,75
430,1008397937678138062,76
433,1008723191444259950,77
439,1008833033674267231,78
441,1008848575460855198,79
449,1008853341405075335,80
454,1008947392943461098,81
458,1008962691250827539,82
462,1008976141142828455,83
468,1009038463725066560,84
481,1009074139152885292,85
485,1009158151420988973,86
488,1009178093787110603,87
521,1009193924973318930,88
523,1009249137203088365,89
525,1009361909828912303,90
527,1009532316635670177,91
530,1009555206985249257,92
533,1009790627265314733,93
543,1009799559969617298,94
545,1010000119230443314,95
549,1010008614873949065,96
559,1010008777579069667,97
572,1010187376137152453,98
584,1010191791760439064,99
586,1010226898684438089,100
589,1010347271679304132,101
593,1010759013425558806,102
596,1010947705354589088,103
598,1011148840488169749,104
601,1011335688177376294,105
603,1011560174508336678,106
610,1011673411170758495,107
613,1011726034604883573,108
620,1011929399913859758,109
622,1011971881799399852,110
627,1012022067148843061,111
632,1012088580788839063,112
635,1012139434798061491,113
638,1012212552926811711,114
641,1012219973053940664,115
648,1012295422593463656,116
651,1012312127155708549,117
653,1012343296830477319,118
657,1012745423014798760,119
664,1012840197880394837,120
669,1012890954561993021,121
675,1013088147994130850,122
686,1013240669562854002,123
691,1013320379684049323,124
693,1013358789313734926,125
697,1013759558809422520,126
699,1013834962234108653,127
701,1013868079116963817,128
707,1014217581545773300,129
710,1014253042368364281,130
716,1014284124315155308,131
723,1014302584249526262,132
746,1014709979984379427,133
771,1014767525730832428,134
776,1014781025184002681,135
778,1014864368250920842,136
782,1014883034985790669,137
785,1014967197530372614,138
788,1015024468186108119,139
794,1015155084524303674,140
803,1015235487623315707,141
805,1015324242713887567,142
809,1015339942666603080,143
813,1015874415608542762,144
823,1015937926224704650,145
827,1015975668933242560,146
830,1016077189450657541,147
833,1016105822155713206,148
835,1016162432078810809,149
850,1016536173317960662,150
866,1016602172956009158,151
880,1016768748220056296,152
882,1016935332418261977,153
884,1016945425788289337,154
887,1017085621344293249,155
889,1017225029319524766,156
900,1017234212280223441,157
902,1017277875683803933,158
904,1017673782911043362,159
906,1017716355049464438,160
912,1017803066722273868,161
916,1018368312943044033,162
918,1018369228830211213,163
921,1018542916583032114,164
925,1018551112349358279,165
932,1018728448565297606,166
946,1018775915727019308,167
983,1018821610137380642,168
997,1019293861943693773,169
999,1019321345383207248,170
1001,1019349972410580479,171
1016,1019379043246211810,172
1020,1019523237143323073,173
1024,1019744646124099700,174
1051,1019866538787395645,175
1058,1020029700640589000,176
