,0
4990,664
2626,665
5437,666
5565,667
1206,668
5804,669
3880,670
938,671
3393,672
1106,673
2209,674
5528,675
1997,676
2917,677
4822,678
4823,679
328,680
877,681
4470,682
3738,683
4307,684
3531,685
5554,686
2781,687
421,688
1483,689
4141,690
1867,691
4856,692
2208,693
1156,694
1918,695
3396,696
4858,697
4198,698
5582,699
4199,700
2370,701
4001,702
2774,703
2747,704
580,705
581,706
4089,707
2375,708
3014,709
681,710
5015,711
4339,712
4372,713
341,714
5564,715
1376,716
2481,717
3361,718
1810,719
1445,720
1115,721
633,722
2491,723
2223,724
2224,725
1812,726
1808,727
1809,728
257,729
5621,730
2519,731
1134,732
5470,733
184,734
2087,735
2089,736
3879,737
2778,738
943,739
64,740
1571,741
3862,742
4465,743
2161,744
1608,745
1508,746
470,747
3162,748
2050,749
3667,750
3121,751
3129,752
4070,753
3148,754
3395,755
5605,756
1190,757
3669,758
5180,759
4341,760
2866,761
3342,762
5103,763
4196,764
2674,765
2957,766
1973,767
1062,768
1002,769
2751,770
1998,771
5236,772
4414,773
3958,774
4731,775
5037,776
1900,777
700,778
998,779
5716,780
4969,781
2553,782
815,783
2190,784
2248,785
458,786
1312,787
5262,788
3063,789
3049,790
1422,791
2403,792
537,793
3057,794
714,795
3179,796
3055,797
5501,798
981,799
889,800
843,801
5408,802
4300,803
5656,804
783,805
1557,806
324,807
2797,808
2845,809
1924,810
1776,811
2611,812
1498,813
3534,814
5346,815
789,816
300,817
1708,818
77,819
4034,820
5870,821
5869,822
4742,823
4868,824
3199,825
1302,826
3883,827
3848,828
521,829
1394,830
54,831
4784,832
5225,833
2710,834
2850,835
3188,836
3658,837
1926,838
2351,839
4180,840
4839,841
2148,842
4750,843
3420,844
3628,845
4714,846
5584,847
2606,848
1299,849
3692,850
4941,851
1899,852
891,853
892,854
894,855
4721,856
3110,857
478,858
5533,859
4824,860
2707,861
2706,862
2694,863
589,864
5635,865
4905,866
813,867
3190,868
3169,869
1898,870
1436,871
1379,872
1636,873
169,874
2914,875
204,876
1782,877
3760,878
1128,879
3626,880
3245,881
3606,882
2296,883
3708,884
3724,885
3625,886
314,887
3296,888
237,889
2328,890
5553,891
2712,892
5481,893
5018,894
5394,895
5761,896
5396,897
1254,898
3896,899
5178,900
97,901
3988,902
4849,903
534,904
3807,905
345,906
3803,907
4687,908
5268,909
2601,910
4652,911
351,912
1155,913
1982,914
5873,915
3863,916
3401,917
3942,918
1017,919
474,920
3072,921
1413,922
3127,923
3594,924
5041,925
4755,926
5754,927
1191,928
4878,929
5859,930
1151,931
5741,932
3111,933
1331,934
5073,935
704,936
3040,937
3208,938
3168,939
3212,940
3209,941
3210,942
3207,943
3894,944
3619,945
3466,946
2651,947
397,948
688,949
5135,950
5179,951
5618,952
23,953
5617,954
2810,955
4953,956
1696,957
4952,958
4951,959
466,960
5822,961
5619,962
3217,963
2794,964
3024,965
2700,966
2029,967
5555,968
1563,969
5691,970
724,971
2941,972
3891,973
2036,974
2196,975
3568,976
2775,977
5655,978
1700,979
4163,980
3586,981
5397,982
4847,983
2654,984
3006,985
262,986
2588,987
5820,988
3542,989
1440,990
5212,991
3782,992
5556,993
1091,994
2353,995
5197,996
2310,997
2567,998
5751,999
2566,1000
610,1001
3611,1002
4641,1003
4762,1004
4938,1005
5402,1006
5163,1007
5194,1008
2585,1009
5457,1010
2779,1011
37,1012
5373,1013
4083,1014
2120,1015
2803,1016
1154,1017
1068,1018
2074,1019
5560,1020
5559,1021
3198,1022
4706,1023
4927,1024
2116,1025
5259,1026
203,1027
4924,1028
2111,1029
5725,1030
1715,1031
3067,1032
4177,1033
4920,1034
4478,1035
1104,1036
2256,1037
5863,1038
0,1039
4486,1040
4485,1041
2442,1042
4484,1043
3423,1044
4469,1045
1709,1046
4090,1047
1634,1048
3801,1049
4431,1050
1178,1051
5063,1052
4175,1053
1858,1054
4473,1055
321,1056
4810,1057
2905,1058
3718,1059
3150,1060
997,1061
4887,1062
4415,1063
2785,1064
4247,1065
5229,1066
5215,1067
5221,1068
119,1069
4635,1070
1282,1071
719,1072
4495,1073
939,1074
2361,1075
2362,1076
4829,1077
5333,1078
4100,1079
1921,1080
4772,1081
996,1082
456,1083
1384,1084
2118,1085
5308,1086
4775,1087
5332,1088
5589,1089
2992,1090
849,1091
5588,1092
955,1093
5770,1094
5575,1095
2057,1096
4108,1097
4449,1098
4395,1099
4394,1100
4451,1101
4396,1102
2286,1103
1179,1104
5794,1105
5732,1106
244,1107
334,1108
2904,1109
1006,1110
1082,1111
4164,1112
4378,1113
2958,1114
4222,1115
2281,1116
3261,1117
3864,1118
2631,1119
2372,1120
2197,1121
1087,1122
1101,1123
1477,1124
2956,1125
109,1126
995,1127
1421,1128
4913,1129
1319,1130
5247,1131
4056,1132
230,1133
69,1134
1223,1135
4658,1136
4025,1137
1126,1138
4280,1139
793,1140
200,1141
4350,1142
941,1143
2687,1144
4204,1145
3588,1146
2984,1147
3999,1148
4407,1149
5530,1150
2456,1151
3937,1152
4655,1153
4207,1154
3294,1155
3292,1156
3295,1157
3284,1158
2816,1159
3938,1160
1555,1161
3923,1162
4299,1163
634,1164
431,1165
1659,1166
4344,1167
1963,1168
1966,1169
3392,1170
4423,1171
2908,1172
3241,1173
4224,1174
518,1175
5328,1176
2001,1177
1008,1178
1061,1179
61,1180
1314,1181
34,1182
4229,1183
4244,1184
2035,1185
1894,1186
226,1187
942,1188
4075,1189
4060,1190
5512,1191
103,1192
2969,1193
2968,1194
2764,1195
3895,1196
3039,1197
4459,1198
5871,1199
3844,1200
4522,1201
4792,1202
4791,1203
4973,1204
4020,1205
1074,1206
5144,1207
4000,1208
1772,1209
2522,1210
85,1211
5189,1212
5340,1213
791,1214
4681,1215
234,1216
236,1217
3467,1218
2416,1219
1999,1220
4074,1221
4079,1222
2516,1223
4077,1224
4228,1225
858,1226
1048,1227
1052,1228
5478,1229
303,1230
3729,1231
390,1232
1714,1233
1711,1234
5128,1235
1214,1236
2856,1237
1530,1238
4733,1239
2855,1240
5100,1241
1713,1242
1795,1243
2595,1244
2684,1245
5152,1246
250,1247
2620,1248
3901,1249
413,1250
574,1251
2999,1252
2226,1253
3428,1254
1197,1255
3468,1256
489,1257
1817,1258
174,1259
919,1260
359,1261
3470,1262
3426,1263
3357,1264
5427,1265
5428,1266
5756,1267
1893,1268
3070,1269
3310,1270
2665,1271
2926,1272
3264,1273
4053,1274
4785,1275
3322,1276
224,1277
1316,1278
2247,1279
2227,1280
1360,1281
